,date,state_code,county_code,state_name,county_name,co_polutant_level,no2_polutant_level,o3_polutant_level,pm10_polutant_level,pm25frm_polutant_level,pm25nfrm_polutant_level,so2_polutant_level
2692,2020-12-27,44,7,Rhode Island,Providence,0.5171556279729472,30.30480171174196,0.03905584310118429,,11.684507053281717,,2.826286234398186
2693,2020-12-28,44,7,Rhode Island,Providence,0.808905999982322,39.52170608876074,0.040621658694603546,,19.86224256415315,,3.0826871361425745
2694,2020-12-29,44,7,Rhode Island,Providence,0.5362420422354619,29.301778988275444,0.02734516656981731,,16.76641029285735,,3.1508495254284554
2695,2020-12-30,44,7,Rhode Island,Providence,0.6319920393854819,30.012968303390608,0.02343260625182403,,10.970081839560756,,3.463643460774538
2696,2020-12-31,44,7,Rhode Island,Providence,0.8470506456975713,34.792389559947594,0.02639659634670255,,13.30855380918748,,3.0817316374228767
2697,2020-12-01,47,9,Tennessee,Blount,0.10388907700543681,,0.029661745732460405,,,,0.4402179946352929
2698,2020-12-02,47,9,Tennessee,Blount,0.07470851328681327,,0.034813320113310835,,,,0.3860507884977995
2699,2020-12-03,47,9,Tennessee,Blount,0.1363536609041276,,0.04150217982692567,,,,0.9740392844860208
2700,2020-12-04,47,9,Tennessee,Blount,0.06628085584444254,,0.04323529183054371,,,,-0.42128834599221765
2701,2020-12-05,47,9,Tennessee,Blount,0.08221289002709042,,0.03760677340819707,,,,1.1713337908023211
2702,2020-12-06,47,9,Tennessee,Blount,0.0792218035382577,,0.029122088829214805,,,,0.30826857863472235
2703,2020-12-07,47,9,Tennessee,Blount,0.1510318202128651,,0.03516245069835251,,,,0.821423031599176
2704,2020-12-08,47,9,Tennessee,Blount,0.11468050891459591,,0.03568183073786789,,,,0.5571747603601187
2705,2020-12-09,47,9,Tennessee,Blount,0.08031206204829267,,0.037485522907476095,,,,-1.3593175296667397
2706,2020-12-10,47,9,Tennessee,Blount,0.0490850681811974,,0.04251249495802171,,,,0.36055312300616826
2707,2020-12-11,47,9,Tennessee,Blount,0.0744459222072742,,0.03250506357488673,,,,1.1762660133776626
2708,2020-12-12,47,9,Tennessee,Blount,0.09052256922059465,,0.03854210505903329,,,,0.6260967245681313
2709,2020-12-13,47,9,Tennessee,Blount,0.1787403873970116,,0.02495561526387511,,,,0.3986116423380306
2710,2020-12-14,47,9,Tennessee,Blount,0.09276394622077166,,0.019242275995800487,,,,1.7521392483763956
2711,2020-12-15,47,9,Tennessee,Blount,0.0741359156048369,,0.017931408009519714,,,,0.5189212777750072
2712,2020-12-16,47,9,Tennessee,Blount,0.054962107279484584,,0.027977591925012358,,,,0.7180886828476281
2713,2020-12-17,47,9,Tennessee,Blount,0.10826346597114056,,0.024224403600523456,,,,2.0240055291292114
2714,2020-12-18,47,9,Tennessee,Blount,0.08755789643401535,,0.03074986713900035,,,,-0.65643505023482
2715,2020-12-19,47,9,Tennessee,Blount,0.13209220578446002,,0.03415988620050371,,,,0.6918264983710118
2716,2020-12-20,47,9,Tennessee,Blount,0.07463681177581893,,0.02510144458349639,,,,-1.6567287098550567
2717,2020-12-21,47,9,Tennessee,Blount,0.11747214310000476,,0.02740024704223807,,,,0.2653738582551952
2718,2020-12-22,47,9,Tennessee,Blount,0.1704654469838519,,0.031141732627614754,,,,1.1005117588765838
2719,2020-12-23,47,9,Tennessee,Blount,0.196291661270809,,0.03714452564021853,,,,1.141036237971953
2720,2020-12-24,47,9,Tennessee,Blount,0.19686431222098244,,0.03216493765216546,,,,0.9089630922253251
2721,2020-12-25,47,9,Tennessee,Blount,0.11802430455951263,,0.03244385233407274,,,,1.5778087709180042
2722,2020-12-26,47,9,Tennessee,Blount,0.1573842114864623,,0.032769127802068525,,,,0.7622254195114708
2723,2020-12-27,47,9,Tennessee,Blount,0.17919338692914855,,0.03223974681840012,,,,1.3866667768896344
2724,2020-12-28,47,9,Tennessee,Blount,0.16427523313353087,,0.03503605021768086,,,,0.15917222368831396
2725,2020-12-29,47,9,Tennessee,Blount,0.15813725670206247,,0.029377865166125623,,,,0.6446037922703631
2726,2020-12-30,47,9,Tennessee,Blount,0.09817067726883089,,0.029571632352293716,,,,1.0326436351485109
2727,2020-12-31,47,9,Tennessee,Blount,0.05346520307664537,,0.027437860076377163,,,,0.5084782367095793
2728,2020-12-01,47,37,Tennessee,Davidson,0.2975882734623536,19.379300908698127,,,,,
2729,2020-12-02,47,37,Tennessee,Davidson,0.544329408875783,39.91043903260373,,,,,
2730,2020-12-03,47,37,Tennessee,Davidson,0.6775094660162293,37.48971149405722,,,,,
2731,2020-12-04,47,37,Tennessee,Davidson,0.28887930654975946,15.302194929263663,,,,,
2732,2020-12-05,47,37,Tennessee,Davidson,0.39490966299825503,29.116331010108553,,,,,
2733,2020-12-06,47,37,Tennessee,Davidson,0.715321231466459,34.663693585796864,,,,,
2734,2020-12-07,47,37,Tennessee,Davidson,0.7554947634413587,36.91288768930053,,,,,
2735,2020-12-08,47,37,Tennessee,Davidson,0.6843516578197679,34.861863061481785,,,,,
2736,2020-12-09,47,37,Tennessee,Davidson,0.49483860120630774,25.807594664494673,,,,,
2737,2020-12-10,47,37,Tennessee,Davidson,0.03487630506671746,18.3549770455287,,,,,
2738,2020-12-11,47,37,Tennessee,Davidson,0.07435180167622957,19.93708895971389,,,,,
2739,2020-12-12,47,37,Tennessee,Davidson,0.19319263322927482,33.854703809684764,,,,,
2740,2020-12-13,47,37,Tennessee,Davidson,0.28036370525047327,24.742510602689805,,,,,
2741,2020-12-14,47,37,Tennessee,Davidson,0.21496396009966756,21.67509570051081,,,,,
2742,2020-12-15,47,37,Tennessee,Davidson,0.13434475465857942,22.191263934195746,,,,,
2743,2020-12-16,47,37,Tennessee,Davidson,0.4767792816978995,30.2303487909345,,,,,
2744,2020-12-17,47,37,Tennessee,Davidson,0.2639634712278969,8.31865007337288,,,,,
2745,2020-12-18,47,37,Tennessee,Davidson,0.07038460349970088,17.82835194677463,,,,,
2746,2020-12-19,47,37,Tennessee,Davidson,0.1895215745652825,24.25330651742891,,,,,
2747,2020-12-20,47,37,Tennessee,Davidson,0.32242243764403944,30.95630165709744,,,,,
2748,2020-12-21,47,37,Tennessee,Davidson,0.38742231985950193,34.19435200409882,,,,,
2749,2020-12-22,47,37,Tennessee,Davidson,0.4965967925506912,42.35303048227462,,,,,
2750,2020-12-23,47,37,Tennessee,Davidson,0.49799734699621667,37.50259861724268,,,,,
2751,2020-12-24,47,37,Tennessee,Davidson,0.41579845894412604,31.187676689793676,,,,,
2752,2020-12-25,47,37,Tennessee,Davidson,0.5704165380501324,46.154214091629626,,,,,
2753,2020-12-26,47,37,Tennessee,Davidson,0.8254172192190672,44.2714980427491,,,,,
2754,2020-12-27,47,37,Tennessee,Davidson,0.7537889247175575,36.130492392600814,,,,,
